"index","工作內容"
12,"我們大學部的兼任助理三月份轉成全職／專任研究員，我們要再找一位儲備研究員／兼任研究助理。主要的工作會與六月份要擴編為20席的電話訪問調查研究中心有關，包括閱讀與寫作（文獻回顧和研究報告）、督導電話調查、資料分析、行政庶務和聯絡媒體公關。

我們兩位專任研究員／專任研究助理（臺科大財金英語雙修和臺大經濟系）的薪水都超過新台幣四萬元，一位工作了一年半，另一位一個半月，和科技部計畫的研究助理相比，高出很多。不相信你打聽看看，而且你可以去查查看勞健保給付級距。更別說你從我們這兒「畢業」之後的出路，負責人李瑞中博士之前是教育部人文社會科學跨國人才培育計畫的主持人，持續送優秀青年（從高中到研究所）出國，他帶過的學生遍佈世界頂尖大學（哈佛、普林斯頓、芝加哥、西北、康乃爾、Johns Hopkins...等）與知名企業（包含臉書、Google、蝦皮、波士頓藥廠、Nvidia）與各大學助理教授（臺大、師大、史丹佛大學）。

不過你如果喜歡國內的環境，想要跟著公司一起成長（等久一點再外派），也很歡迎你。

你需要修過至少一個學期大學部的統計課，要腦筋清楚，要有自信，要有企圖心，要知道「世界上最可怕的是比你聰明的人比你努力」。你的英文現在不好沒關係，進來之後一定會變好，其他都不重要。對了，如果你不喜歡閱讀，你的人生發展有限，也不用來申請。

一項也許會讓你皺眉頭的任務是擔任電話訪問的督導，目前規劃是每週要輪班一到兩次，和另外兩位全職研究員以及一位儲備督導協調確切日期，需要輪班的時間包含每日（週間與週末）晚間5:30-10:00和週末假日下午12:30-5:00。

以下是我們招募研究員的廣告，不過我們目前已經有兩位專任研究員，暫時不會再補人。而且我們喜歡長期培養人才，不稀罕別人教的，你要變強，就應該從讀書時代就來歷練：

＊＊＊＊＊＊＊＊＊＊

我們要聘人才，不要找奴才。我們要培養未來的領導人，有企圖心，對自己有期許，到我們這兒待兩三年，讓你脫胎換骨。只想安安份份過十年、二十年的，可以跳出去了，這份工作不適合你。

這份工作最適合有志出國念書（不限領域）的青年朋友，英語聽說讀寫（特別是讀寫）的能力是基本要求。匡衡智庫創辦人（也是大飽教授留學講堂負責人）李瑞中博士過去的學生與助理遍佈美國與歐洲最頂尖的大學與研究所念書，大多數留在美國生活工作。

這份工作最主要的任務是從事政策分析與社會科學相關研究，協助逐步建立起匡衡智庫需要的各個部門的行政事務，目前第一要務是調查研究中心（含不同媒介並涵蓋國內外）。【這是前年的廣告，目前我們的調查研究中心已經建置滿一年，下個月將擴張為21席。】

匡衡智庫的研究團隊目前有三到五位博士級資深研究員或國內外兼任顧問，另外有兼任研究助理（大學部或研究所學生），正在進行中的計畫與性別議題有關，但我們團隊的專長很廣，涵括經濟學、人口學、公共衛生、環境科學、教育學、心理學、資料科學......等，且兼具質化量化方法取向。但我們對於這個職務的期待是來學習，你在哪裡受過的訓練大概都不會有你在我們這裡的訓練好，沒有上過統計課都別擔心，但希望你肯學，你會變強，至少有進入頂尖學府社會科學博士班那麼強。科系主修不拘，理工科尤佳，特別是愛讀課外書的理工科很快就追上相關科系畢業的；文組生不要氣餒，年輕就是本錢，大飽教授帶過的高中人社班資優生高比例轉理工科，甚至直接念資訊電腦賺大錢。

對於行政業務的期待是具備自信，能夠獨立自主解決問題，瞭解輕重緩急，懂得規劃，動腦筋，勤勞但不要傻傻埋頭苦幹，指揮你的老闆，動敵機先，而不要被動應付危機。

多工和時間管理是現代人才必備的能力，同時會有不只一項計畫進行，壓力山大，我們的信念是沒有壓力的人生不是值得過的人生。但你如果學不到東西，算我們對不起你！甘於平凡的人不要來，你不會適應我們的文化。我們這裡學歷最差的有一個臺大學歷，但我們完全不在意學歷，臺大也沒什麼了不起，我們有本事把不是從小第一志願的青年帶到比臺大畢業的更強。臺大算什麼？如果你有這種氣魄，歡迎你來申請。

匡衡智庫運作是翻版美國智庫蘭德集團，但改得更人性化一點，我們原本登記打算資本額放零元，但保守的中華民國政府不准。不過我們要傳達的是在這裡有革命性的思維，有平等而靈活的管理風格（如果那叫做「管理」的話），有潛力的年輕人會有很大發揮與成長的空間。我們過去帶過的學生與助理三不五時就越級打怪，想要的話，你也行！

以下是104提供的模板當中，我們挑選改寫大致可能會需要這個位置的人做的具體工作，供您參考。

1. 協助負責人進行公司內部管理稽核事項（如：整合標準化工作流程、規劃及推動各項管理規章及制度、督導工讀生），與協助公司經營策略分析、整合規劃、推動與執行。

2. 管控各專案進度、品質、預算與成本，確保各專案符合時程規劃，協助專案的規劃、執行與追蹤檢討，進行跨不同計畫團隊之溝通協調，以利專案之執行。

3. 協助申請與執行研究計畫，負責部分報帳、經費申請、物品建檔等行政工作，協助或學習資料收集和資料分析，編輯、撰寫計畫報告書。

4. 大量閱讀並摘要中英文（英文比例會相當高）的學術論文、政策報告、專書等文獻。

我們不拘形式，有意加入我們團隊的朋友，請寄給我們任何你認為對我們評估申請者與該職缺配適度的資料／材料。以下是英文版徵才啟事，如果你可以用全英文溝通，絕對加分，我們的目標是根留臺灣，放眼國際，希望在不久的將來到美國成立據點。
"
13,"【注意】本職缺適合者會用E-mail通知面試
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】

工作說明如下

一、一對一教學。

二、排班時間彈性

三、依照學校教材教學，超前進度或者落後部分加強(補習班提供全套教材)

四、不能做到1年以上者請勿應徵,不好意思,謝謝

五、公司可排班時間如下(一~日都營業)

【一 ~ 五 下午3:30~晚上10:00】
【六 早上9:00~晚上6:00】
【日 早上9:00~下午4:30】"
14,"1.講授初級.中級英檢及國中各版本課程。
2.自編上課講義及試題。
3.關心學生學習成效進而調整教學方式
4.主動要求學生上課情況進而提升吸收效率"
15,"1.協助國一~國三英文輔導及總複習
2.點名.行政.家聯.管理.督促學生課業
3.安排平常加強
4.月考前星期日需考前複習
開學期間:17:00-22:00
暑假期間:13:00-18:00"
16,"【注意】本職缺適合者會用E-mail通知面試
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】

工作說明如下

一、一對一教學。

二、排班時間彈性

三、依照學校教材教學，超前進度或者落後部分加強(補習班提供全套教材)

四、不能做到1年以上者請勿應徵,不好意思,謝謝

五、公司可排班時間如下(一~日都營業)

【一 ~ 五 下午3:30~晚上10:00】
【六 早上9:00~晚上6:00】
【日 早上9:00~下午4:30】"
17,"歡迎細心負責，喜歡小孩，具耐心和愛心，勇於接受挑戰，樂於學習成長
對於數學有興趣及對教學有熱忱的人員加入東區明星教學團隊,
兼任老師一律經過筆試、面試及試教合格之後才予以錄取
教授的教材及考卷均使用公司所編寫的內容，兼任老師不需額外編寫教材"
18,"【此為不支薪的志工服務職缺】

只要妳是大學幼教系/所同學，都歡迎申請!!! 

志工服務會進到幼教現場，協助孩子.協助教師 
長期志工服務，還享有四季藝術完整實習師資培育，讓妳不只有愛，更具專業。 

投遞履歷，加入我們，讓志願服務有趣又充實! 

請於自傳中指定要服務的校區，並說明想要志工服務的期間，以利我們後續的安排! 
【分發校區】 
市政校： 台中市大墩十一街467號 
西屯校： 台中市上安路89號 
北屯校： 台中市旅順路一段208號 
黎明校: 台中市南屯區大墩12街969號(近益豐路口)

【長期志工培育與制度】 
●專業完整又有趣的培訓制度：10大專業教師面向，分階段以闖關方式培力，讓服務歷程樂學又活用
●多元的師訓參與機會：新人師訓／多元的校內研習工作坊，建立團隊共學文化​
●提早正職聘用：優先取得轉正職伙伴的機會，未畢業就已經錄取
●同享正職伙伴福利：
有機餐點
部門聚餐
季節旅行
三節禮金
福委會
按摩
社團
年節贈品
藝文欣賞
年度Party
歲末聯歡

*本職務為志工服務，無薪酬"
19,"1. 兼職
2. 平日晚班18：00 - 21：00 
3. 假日全天 10:00- 18:00 或 半天（早）09:30-13:30或 （晚）14:00-18:00 
4. 需簡單整理環境，收玩具，準備食物給小孩，洗碗。 （不需洗衣，吸地/拖地，幫小孩洗澡）"
20,"【注意】本職缺適合者會用E-mail通知面試
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】

工作說明如下

一、一對一教學。

二、排班時間彈性

三、依照學校教材教學，超前進度或者落後部分加強(補習班提供全套教材)

四、不能做到1年以上者請勿應徵,不好意思,謝謝

五、公司可排班時間如下(一~日都營業)

【一 ~ 五 下午3:30~晚上10:00】
【六 早上9:00~晚上6:00】
【日 早上9:00~下午4:30】"
21,"1. 課堂中與課後輔導
2. 班務工作(批改考卷)
3. 教室整潔
4. 完成主管交辦事項"
