"index","工作內容"
51,"你想要學習運動成為教練嗎?厭倦目前的工作想轉換環境嗎?
現在正在缺人手,我想徵健身業務.歡迎在職男女,需年滿18歲,年紀無上限.
無經驗可有完整的培訓計畫.
福利:
可以在任何時間{免費}使用健身房所有設施
現任教練專業教導你如何成為教練
免費團練課程上到飽
(拳擊有氧,肌力訓練,跳床有氧,ZUMBA,筋膜放鬆)

論件計酬，而非一般工作/僱傭關係，平均一個月3萬以上
上班時間彈性不需打卡，不限上班時數"
52,"你想要學習運動成為教練嗎?厭倦目前的工作想轉換環境嗎?
現在正在缺人手,我想徵健身業務.歡迎在職男女,需年滿18歲,年紀無上限.
無經驗可有完整的培訓計畫.
福利:
可以在任何時間{免費}使用健身房所有設施
現任教練專業教導你如何成為教練
免費團練課程上到飽
(拳擊有氧,肌力訓練,跳床有氧,ZUMBA,筋膜放鬆)

論件計酬，而非一般工作/僱傭關係，平均一個月3萬以上
上班時間彈性不需打卡，不限上班時數"
53,"1.訂定教學目標、課程範圍、授課內容。
2.準備課程教材、課程資料。
3.依據教學目標授課，並評估學生學習狀況以調整授課進度。"
54,"Our school aims to improve kids English by involving them in a funny and more attractive environment something like doing art works while practicing English and learning it in the process.

We are looking for foreign summer camp teachers that are experienced in dancing for kids, and we need you to help design the schedule of the camp. Welcome to contact us.

Our website: https://www.piloterart.com/

**Location:
Taiwan Taipei  Xinyi district 

**Student type:
Elementary school students, 
aged 4-6 / 6-12 / Adult

**Class type: 
ESL Teacher
Art English Teacher

**Work Time
Monday/Wednesday/Friday/Saturday/Sunday 13:00-21:00

40 hours per week：
30 hours for Teaching
10 hours for Preparing for teaching and administrative management

Schedule of Classes：
Afternoon 14:00-16:00 
Afternoon 16:30-18:30
Night 19:00-21:00

**Qualifications:
Bachelor's degree
Valid ARC 
Valid Work permit
***We can't provide Work permit or ARC***
"
55,"1.招生電訪
2.文宣加工與發放
3.班內行政事務"
56,"時薪＋獎金：基本時薪保障，視績效及時數調整。成功達成還有獎金發放"
57,"Our school aims to improve kids English by involving them in a funny and more attractive environment something like doing art works while practicing English and learning it in the process.

We are looking for foreign summer camp teachers that are experienced in dancing for kids, and we need you to help design the schedule of the camp. Welcome to contact us.

Our website: https://www.piloterart.com/

**Location:
Taiwan Taipei Neihu district 

**Student type:
Elementary school students, 
aged 4-6 / 6-12 / adult

**Class type: 
ESL Teacher
Art English Teacher

**Work Time
Monday/Wednesday/Friday/Saturday/Sunday 13:00-21:00 

40 hours per week：
30 hours for Teaching
10 hours for Preparing for teaching and administrative management

Schedule of Classes：
Afternoon 14:00-16:00 
Afternoon 16:30-18:30
Night 19:00-21:00

**Qualifications:
Bachelor's degree
Valid ARC 
Valid Work permit
***We can't provide Work permit or ARC***
"
58,"你想要學習運動成為教練嗎?厭倦目前的工作想轉換環境嗎?
現在正在缺人手,我想徵健身業務.歡迎在職男女,需年滿18歲,年紀無上限.
無經驗可有完整的培訓計畫.
福利:
可以在任何時間{免費}使用健身房所有設施
現任教練專業教導你如何成為教練
免費團練課程上到飽
(拳擊有氧,肌力訓練,跳床有氧,ZUMBA,筋膜放鬆)

論件計酬，而非一般工作/僱傭關係，平均一個月3萬以上
上班時間彈性不需打卡，不限上班時數"
59,"1.學習講授課程及學生輔導，培訓經營家教體系能力。 
2.扮演導師角色，協助解決學生課業上及生活上的困擾。 
3.享勞保 
4.薪資隨工作表現及服務時數調整 
5.經錄取長期配合，保障基本時數 
6.時間彈性，週日不排班 "
60,"請務必透過104投遞履歷，勿直接到補習班
對教學有熱誠, 不拘泥教學型式, 喜歡與人相處, 
能夠將已知知識經驗完整敘述, 
並有自己的一套思維邏輯, 
有家教或志工...等教學經驗者佳, 

認真負責 督促學生完成其輔導進度 
依能力與輔導人數的多寡決定時薪 

經錄取後可依個別情形安排平日晚班或假日班 
高時薪與高獎金 
若教得出色 會試著安排 1對1 1對2 等授課或帶班機會  "
