"index","工作內容"
26,"【工作內容】
　1.機械繪圖(2/3D建立)
　2.BOM建立
　3.結構模擬(模擬軟體)

【實習期間】
　1.寒假實習/暑假實習
　2.學期實習/學年實習
    3.工讀

【申請資格】
　1.準研究生
    2.碩一、碩二生

【工作時間】
　時數制：1週3天以上-時薪$180元
　全月制：依公司行事曆-月薪$25000元"
27,"實習基本工法、觀摩特殊技術
接觸現場實務、初階進度管理
學習查驗實務、建立品質觀念
其他主管交辦事項"
28,"哈囉！你是機械製圖相關科系的學生嗎？或是雖非相關科系畢，但你會使用2D與3D繪圖軟體？我們正在尋找這樣的你(們)加入我們！

不論你是“在學生”或是尋找“兼職工讀機會”，只要你符合上述條件，都歡迎你投遞履歷表應徵。

我們會提供設備資源讓你學習操作 Creo 系統；更期待能栽培你成為未來康揚的核心人才，如果你符合上述條件，又對以下工作內容有興趣嘗試，別猶豫，直接應徵吧！

1. 繪製2D/3D工程圖/機構設計圖面品
2. 協助專案進行2D工程圖重建"
29,"工作內容：
1.熟悉Auto CAD 、 Solidworks繪圖軟體
2.具備簡單繪圖能力
3.圖面整理
4.BOM表維護
5.其他主管交辦事項"
30,"冷凍空調／機械／環工　相關領域人才長期招募中

★ 主要工作內容：
1. 機械結構／鈑金等設計
2. 零件繪製工程圖
3. 整理系統料件資訊
4. 實驗數據測量、記錄


★ 要求條件：
1. 一週工時需30~40小時
2. 可長期配合者佳
3. 需機械本科相關學歷


★ 我們的主要產品如下：
1. 熱泵式汙泥乾燥機。
2. 其他熱泵與乾燥相關製品。
歡迎至官網參考產品一覽：http://www.dilemma.com.tw/

"
31,"主要清潔垃圾"
32,"1.具備相關實務工作經驗。
2.具備大學以上學歷
3.熟設計軟體,Solidworks 繪圖、AutoCAD工具。
4.溝通能力強, 有教學熱忱,實務經驗,可協助規劃教學課程者。"
33,"1. 依興趣及能力培養及訓練金屬板及帷幕設計或外牆帷幕牆現場監造。
2. 帷幕牆外觀設計圖、加工圖、組裝圖、施工圖識圖。
3. 現場測量與材料估算、管理
4. 熟AutoCad。
5. 碩士以上建築、土木相關科系在學生。
6. 錄取後先至高雄總公司受訓，受訓後依興趣以及意願進行分發。"
34,"(南港路二段) 辦公室清潔員，需有經驗，上班時間下午3:00-6:00，
月薪14000元"
35,"使用原材料的關鍵零售產品，以開發所有可供客人銷售的產品和服務的產品知識。
有木匠工業木工的經驗

所需技能
性格/態度要求

必須自我激勵和自律
必須能夠按時完成工作分配的優先級
必須致力於持續改進。
"
36,"1.	依據施工進度執行管理
2.	工程分包安排協調管理
3.	分項工程現場指揮
4.	協助工程現場文件建立
5.	協助各項會議記錄
6.	協助各廠商計價作業
7.	建築工程相關文件及表單建立
"
37,"到府居家除塵螨服務
有專業職前訓練，無經驗可
須自備機車或汽車
我們需要帶著公司產品到客戶家操作"
38,"1.負責一般文書資料處理及歸檔工作。
2.協助處理庶務性行政工作（如：事務機器叫修維護、文具用品採買）。
3.主管交辦事項。"
39,"歡迎夜校生或課不多的同學(可彈性選擇每周三到四天上班)或接受短期繪圖工作者
可學習工作經驗並累積精進繪圖技術
投遞履歷可附上作品佳
1.使用Autocad and Solidworks繪製圖面。
2.主管交辦事宜。"
40,"1.負責一般文書資料處理及歸檔工作。
2.跑件(跑事務所及業主用印)。
3.主管交辦事項。"
41,"於此專區投遞履歷即可應徵飛宏科技股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
其他電子零組件相關業

【公司簡介】
飛宏科技為全球電源供應器之領導廠商，歡迎您加入我們的行列！榮獲TTQS銅牌銀牌之企業~深耕電源產品近50年，為全球十大頂尖的電源供應器供應商之一；為快速服務全球客戶，在加州、紐約、荷蘭、中國和日本以及越南等皆設有服務據點；在中國亦有四個廠房以生產優質產品。公司係以各型電源供應器（power supply）之研發、生產及銷售為主要營業項目，為世界大廠Sony、Huawei、Cisco、Philips、HTC、Nec、Nokia、Epson⋯⋯等所採用電源供應器之主要供應商之一，以研發製造3C產業電源供應器享譽業界，同時公司持續積極創新，開發高效能、高附加價值之產品線與耕耘相關產品客戶。
提供多元化的電源產品能滿足客戶需求，除一般工業用產品皆通過ISO9001品質管理系統認證及產品安規認證外，針對醫療用電源產品也通過ISO13485醫療器材品質管理系統認證，能滿足醫療器材產品終端客戶的要求。同時車用電源及相關車載產品也通過品質業界最高標準IATF16949:2016 汽車業品質管理系統認證，為客戶提供優良的產品品質與完善的售後客戶服務。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《【2021電源人才培育營】-電源助理工程師》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證/設計
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳

2.	《電源研發-實習生》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳


3.	《機構研發技術工讀人員-台南 》
工作地點：台南
工作內容：
(1)機械2D工程圖繪圖
(2)協助建立零件料號
(3)BOM建立與管理。
(4)協助工程師處理專案相關作業
(5)歡迎 學年/長期配合同學尤佳

4.	《研發技術工讀人員-台南》
工作地點：台南
工作內容：
(1)充電樁組立
(2)線材加工
(3)協助建立零件料號
(4)配合彈性出貨之需求
(5)歡迎 學年/長期配合同學尤佳


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
