"index","工作內容"
11,"軟體設計工程師
1.負責軟體之分析、設計以及程式撰寫。
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3.進行軟體之測試與修改。
4.規劃、執行與維護量產的產品。
5.協助研發軟體新技術與新工具。"
12,"1. 資安弱點研究與分析
2. 執行系統與網頁弱點掃描服務
3. 自有產品安裝建置與顧問諮詢
4. 弱點顧問諮詢服務

"
13,"財經資料的蒐集、處理、衍生、分析及應用等相關程式開發。
採用SCRUM軟體開發流程及團隊建置新系統。

一週至少3個工作日(疫情期間採居家辦公)。"
14,"1. 協助技術顧問面對企業與一般顧客，回應或直接解決客戶採用包含 iPad、iPhone、Apple TV、Mac 電腦等Apple 設備時會遇到的問題。
2. 協助內部團隊，與團隊共同完成專案目標。
3. 執行主管交付任務。
4. 不需每天上班，可配合學校課程調整上班時間。
5. 表現優異者，畢業可申請轉為正職。"
15,"《工作內容》
1.網路平台、客戶訂單受理
2.商品進貨、包裝、出貨及庫存管理
3.網路平台上商品刊登及上架
4.系統查帳管理
5.處理客訴問題 商品售後服務
6.平台操作
7.電商庶務後勤支援及主管交辦事務
8.工作細心、熟電腦操作、思緒清晰、抗壓性高、有責任感佳


1週上班安排24小時

《應徵條件》
1.會操作電腦
2.會基本文書軟體Microsoft Word、EXCEL

《加分技能》
1.需要有基礎商品拍攝能力(簡單手機拍攝、短片拍攝)
2.簡易商品(短片)拍攝

#短期勿試#"
16,"【關於 PressLogic】
香港著名科技初創公司 - 「PressLogic」是「GirlStyle女生日常」的母公司，成立於2016年，至今已成為業務多元化的綜合企業，經營範圍包括 MediaLens（技術和數據）及數碼媒體和內容行銷，業務遍佈香港、台灣、新加坡、印度、韓國及馬來西亞；員工總數超過 150 人。

於社交媒體出版業務上，PressLogic 現已累積超過 800 萬 Facebook、Instagram 粉絲和追隨者；以及每月於各社交媒體帳戶和網站產生超過7億次的內容展示次數。2018年，PressLogic 成功獲得總值 1,000萬美元的A+輪融資。

【前端工程師實習生 Frontend Intern - GIRLSTYLE】

如果你是：
1. 徵求未來想從事前端工程師的大四準畢業生
2. 對HTML, CSS, Javascript, Vue有了解(課堂或自學)
3. 在學時有相關作品

要求：
*一星期最少工作24小時，3天以上fulltime，每天8小時。
*需自備筆電

我們歡迎：
1.不限本科系，歡迎對前端有熱誠及已經在規劃轉換跑道的準畢業生。
2.想在畢業前累積專業，工作技能無痛就職的準新鮮人。

歡迎加入我們！"
17,"i-Buzz的核心理念是數據推動行銷策略，透過網路語料觀察與混搭資料研究進行開發，提供客戶深化的資料分析結果。另外欲透過自營的數位產品，挖掘使用者的行為數據，提供產品更好的體驗。

如果你符合下列條件：
1. 具統計/資工相關學經歷背景；
2. 熟悉使用至少一種(python或R)程式語言進行資料分析的任務；
3. 具備機器學習/深度學習的基本觀念；
4. 對NLP(自然語言處理)有相關經驗為加分條件；
5. 做事耐心細心兼具，思考邏輯清晰，具資訊統整能力。

職務內容如下：
1. 執行研究人員交付的例行資料分析業務；
2. 與研究人員共同進行前瞻性的研究發想與測試(模型、演算法等)；
3. 對分析結果/技術語言的溝通業務(投影片製作、匯報)
4. 每週至少排班三天，需自備筆記型電腦。

誠摯歡迎符合以上條件，且具責任心、勇於接受挑戰者的加入。
"
18,"1. 電腦整合測試。
2. 系統維護操作。
3. 歡迎對電子產品有興趣者。"
19,"我們是來自網路圈與IC設計公司的新創公司
透過 Ruby on Rails 開發新一代 E-commerce 系統與物聯智慧服務

主要的工作內容為：
1. 網站多國語系架構修改
2. 維護平台使用語言與對照表 
3. 其他主管交辦事項、與同儕互相學習"
20,"1.需有影像處理、影像分析、電腦視覺等相關程式設計經驗。 
2.有前端經驗者佳(html, javascript, webGL)。
3.協助處理影像處理、物件辨別及追蹤、搜尋相關演算法。
《重要》對於研究有熱情
《重要》一周需上滿3個工作天-24小時or以上
《重要》工作週期需達一年。
《重要》希望是長期配合，未來可轉正職
"
21,"1.生產報表撰寫										
2.作業成本(含設備及人力)與生產績效蒐集、分析 、改善										
3.生產流程動線規劃與協助生產										
4.操作SOP review										
5.依Forecast與庫存狀況，計畫性領料與物料控制。										

*可實習一學年者優先錄取
*有學習過VBA/ SQL 等相關程式語言尤佳"
22,"ucfunnel is a global technology company. Its core product is ucX, a digital advertising exchange platform. ucfunnel collaborates with many high-quality media around the world. Under high traffic request, backend engineers need to build distributed systems with high performance and high fault tolerance. At the same time, the system has accumulated a lot of data and needs to store and process a lot of data and provide complete reports.

About the Job:
1. Assist in developing/testing high-performance, high-fault-tolerant advertising systems
2. Assist in data storage and processing

Required qualifications:
1. Familiar with any backend language (we use Golang, node.js)
2. Familiar with Git version control
3. Knowledge of basic system program development (e.g. operating system)
4. Ability to self-study and be good at expressing problems and communicating.
5. The internship time must be more than half a year.


ucfunnel 是一家全球性的科技公司，核心產品為數位廣告交換平台 ucX。ucfunnel 與全球非常多優質媒體都有合作。在這高流量的請求下，後端工程師需要建置具有高效能、高容錯的分散式系統。同時系統累積了許多的資料，需要對大量資料的存儲與處理並提供完整的報表。

[工作內容]
協助開發/測試高效能、高容錯系統
協助數據的儲存與處理

[徵求條件]
1. 熟悉任一種後端語言 (我們使用Golang, node.js)
2. 熟悉Git版本控制
3. 具備基本系統程式開發概念
4. 具備自我學習能力以及善於表達問題和溝通
5. 實習時間必須要半年以上"
23,"工作內容:
1、GM輔助業務
2、伺服器監控及遊戲監控
3、玩家動向監控及整合/報告
4、營運相關議題應對及報告

A:平日小夜班時間: 周一至周五 15:30~22:30
B:假日早班時間: 周六周日 07:00~15:30
C:假日小夜班時間: 周六周日 15:30~22:30
D:假日大夜班時間: 周六周日 22:30~07:00

**每個班別及上班日皆為固定，非自由排班，還請依照可配合的時間選擇班別***

注意事項:
**應徵時請務必告知可上班的班別，若未提供應徵班別將不會進行回覆和邀請面試**
**可立即到職者優先錄取**
**可長期配合者優先錄取**
**請務必先確保下班後有順利可返家之交通工具**
**有平日日間正職或假日兼職者敬請審慎評估自身身體狀況**"
24,"1. 每日管理監控系統後台狀況
2. 統整案場異狀及派工
3. 每日統整工作報表
4. 處理客戶端問題
5. 辦公室設備維護及用戶端問題解決
6. 可配合出外勤
7. 其他主管交辦事項
*此為約聘職缺，表現佳者，轉正職機會高。"
