"index","工作內容"
11,"普匯金融科技
金控集團投資
多家銀行合作
未來AI金融科技獨角獸

招募【系統PM實習生】
職務需求:
1.對Fintech產業或專案管理有興趣者
2.資管或資工相關科系
3. 大三或大四佳
4.熟悉UML工具使用

工作內容:
1.協助主管安排規畫金融科技專案
2.製作系統規格書
3.資料收集與彙整
4.製作科技系統會議資料
5.主管交辦事項

"
12,"台灣專業網路經銷商欣新網徵求電商平台長期實習生。
欣新網主要負責快速消費品產品，經營的品牌包括美妝/個人清潔/日用/食品/母嬰等，希望尋找對經營網路商店有熱情的朋友。不限相關科系，熟悉電腦操作與excel操作為佳。應試者將會協助線上商城的品項與活動更新、銷售數據資料整理及部份行政事項協助。

與部門主管協定上班時段, 負責下列工作: 
- 平台銷售產品資料Key in 。
- 電商平台銷售數據資料庫管控。 
- 市場資訊蒐集、彙整 。
- 報表及簡報製作 
- 量化調查 
- 其他單位支援或主管交辦工作

上班時間為日班0900-1800，每日至少4小時，最多8小時。時薪計薪，上班時間先協調。"
13,"工作內容：
1.分析品牌/產品 網路聲量
2.輿論分析
3.將社群網路分析結果導入產品開發

會學習到：　
1.Product Marketing
                STP
                Business Model
                Value proposition
2.Product Growth 
                Acquisition
                Activation
                Revenue
                Retention
                Referral 
3.Brand Equity
                Brand Awareness
                Brand Association

"
14,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

https://www.dreamermagic.com/

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

#工作內容： 
◆ 影片/節目製作行銷 
　 1. 微電影/短片製作 
　 2. 節目企劃製作 
　 3. 網路直播節目企劃 
     4.平面照片修改"
15,"★《工作期間》
工作日期：自應徵通過開始，長期合作
排班方式：周一~周五，自由排班(10:00~17:00)
每周至少進公司2天

★《工作內容》
1.對外聯絡
2.口碑行銷操作
3.蒐集行銷相關資料
4.(依照專長分配) 文案撰寫.行銷專案執行.攝影.美編

善於表達、思考，對自己未來有規劃，知道自己想做些甚麼
對於品牌行銷.電子商務有極大的興趣者

條件:
大三、大四、碩班或課業較少的學生
若合作順利,畢業後可以直接轉正式員工

★履歷請附上:
1.可進公司的時間
2.簡單自我介紹
(為何會想要應徵.具備哪些能力.有甚麼期許....之類的)"
16,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

#工作內容： 
◆ 影片/節目製作行銷 
　 1. 微電影/短片製作 
　 2. 節目企劃製作 
　 3. 網路直播節目企劃 
     4.平面照片修改
https://www.dreamermagic.com/"
17,"1. 網路通路管理 (客服、庫存、出貨)。
2. FB、EDM及各種宣傳文案的設計、製作與發送。
3. 網站、網路通路行銷及服務的成效追蹤。
4. 協助主管處理其他代辦事項。"
18,"我們是欣新網，專注為各大品牌量身打造電子商務策略的專業代理商
我們在找「數位廣告管理師」的2020-2021年度長期實習生
你的工作內容能接觸台灣各大民生消費品廠商，結合各種數位廣告投放方式，為品牌在電商平台創造更佳效益。

「數位行銷x電商領域」有很多好玩的機會，如果你喜愛此領域，歡迎加入我們！

職務需求
1)	根據廣告規劃，整理投放報表
2)    協助廣告投放設定工作
3)    與媒體端與廣告主建立良好溝通管道及協助問題追蹤
4)    因合作需要，每週需能排班四個整天，請確認可行再應徵"
19,"1.基本文書處理：word、excel 
2.溝通能力佳 
3.修圖、資訊建檔、美編 
4.資料排版與影音製作 
5.認真負責，肯學習!"
20,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

#工作內容： 
- 行銷專案執行 
- 行銷資料分析 
- 活動企劃撰寫
- 主管交辦事項

https://www.dreamermagic.com/"
21,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

1.喜愛創意和樂於設計者優先錄取。
2.具實務工作經驗，細心、專業、積極。
3.具時間管理獨立作業能力，能全心投入設計工作。
4.您若是設計相關的夜校學生，有相關工作經驗且對平面設計有很大興趣者，歡迎來應徵!我們願意培訓你!
5.您必需設計本科系，請註明高中和大學就讀科系，附上您的簡介和作品，讓我們快速認識你、挖掘你!
6.具品牌概念與執行、形象設計經驗
7.需有良好美感與設計思考能力


https://www.dreamermagic.com/"
22,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心 
同事年輕活力有朝氣 

https://www.dreamermagic.com/

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。 

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

工作內容:
家庭日、運動會、廠慶、研討會企劃執行 
年終尾牙、春酒晚會、經營者大會企劃執行 
節慶活動企劃執行(例：中秋晚會、聖誕晚會) 
公益活動企劃執行 
活動視覺設計與印刷 
活動硬體工程整合規劃"
23,"
協助產品經理進行以下工作:
1. 進行商品管理、規劃、設計、推廣及開發協調。
2. 制定新產品規格，評估開發的可行性，進行導入並控管時程。
3. 進行商品市場資料分析與商品定位，發展產品行銷策略，並進行價格策略的制定。
4. 執行市場與產品趨勢調查，提供研發部門做為新產品開發的參考。
5. 進行通路推廣，統籌產品行銷活動、文宣製作與客戶說明會之規劃。
6. 整理、分析並建立商品資料檔

系所要求:
1. 企業管理
2. 傳播媒體
3. 語言學系

加分項:
英文Toeic 900+

"
