"index","工作內容"
34,"Job Description
職缺描述
- 採Result-Oriented、高自由度的方式Remote合作
- 在社交媒體推廣活動及撰寫相關文案、配合團隊行銷活動規劃
- 開拓通路如FB/LINE/EDM、投放廣告、配合團隊用數據驅動方式改善User Acquistion
- 營造社群，推送最新教材及影片、從生活元素引發學習興趣
- 與創辦人及教學團隊緊密合作、 與使用者／學生溝通及理解需求、吸納產品意見
- 開放經理和實習職位，取決經驗和職能

Requirements
- 必需：學習日／韓外語、對外國文化有興趣及熟悉者
- 必需：流利中文、充份了解台灣市場
- 必需：喜好新創環境、有自發工作能力、樂於挑戰不同崗位
- 優先：國外留學或工作經驗
- 優先：就讀語言科目或從事相關教育產業者"
35,"1.協助EC team完成貨品調轉與庫存處理
2.協助網站商品上架及撰寫文案。
3.協助網站平台運行庶務。
4.主管代辦事項

上班時間為週一至週五 09:30~18:30
能配合上述工作時間者優先面試

1.Assist EC Team to complete product transfer and stock management.
2.Assist website product launch and copywriting.
3.Assist daily platform business operation.
4.To-do list by supervisor 

Working hours are from Monday to Friday 09:30~18:30"
36,"【工作條件】※有意願應徵者，將直接以信件通知面試時間，請務必留意。
本公司工作內容以網路行銷為主，需對網路行銷有高度熱忱者，瞭解網路趨勢及熟悉網路溝通語言，本身時常需有網路使用習慣(瞭解部落客、網紅、直播、社群、論壇、Mobile01、PTT、Dcard、各內容網站等)，並具編輯及企劃能力(有美編能力或SEO經驗尤佳)，無經驗可。

1.對網路行銷有高度熱忱
2.了解網路生態並熟悉網路溝通語言，對熱門議題、時事、趨勢觀察、KOL(部落客、Youtuber各網紅)有敏銳度
3.需有基本文字編輯能力
4.主要工作內容為協助正職專案的優化及運行，故需有基本溝通表達、解決問題之能力
5.因公司文化彈性自主，故較適有高自制力、高責任感之特質者
6.本公司工作時間為am10:00~pm6:00，工讀為排班制度(一週至少兩天)，如目前日間課業較繁忙者較不適合

【工作內容】
1.協助專案人員執行日常交付事務，以達專案運行順利之目的
2.協助客戶如KOL合作等各行銷活動的溝通及執行
3.協助專案負責之客戶行銷推廣、內容編輯等
4.協助從事創意、撰寫、彙編行銷推廣內容，並藉由網路傳播媒體予以對外發表之工作
5.協助收集情報和資訊，統整資料

若您對網路行銷及網路使用經驗有興趣或各種想法，可於自傳中補充以提供我們參考，公司環境舒適、工作氣氛佳，歡迎加入我們的團隊。

【我知道這些肯定吸引你】
1.無上下班打卡制度(故較適合有自制力及責任感者)
2.見紅就休，且無補班制度(別人辛苦補班你照樣休假)
3.你喜歡聽甚麼音樂就給你當DJ
3.每週三下午茶歡樂時間
4.不定期聚餐、團康競賽活動等
5.春酒/尾牙、員工旅遊(目前已去過曼谷、韓國、峇厘島、東京、大阪、北海道、華欣)"
37,"推廣餅乾試吃給消費者，推廣介紹知名零食品牌。"
38,"1.各大賣場的展示促銷或試吃活動為主
2.展示項目：食品或消費性產品為主
3.工作時間：週六、週日(每天8小時)
週六 13:00 - 21:00 | 週日 11:00 - 19:00"
39,"提供餅乾試吃給消費者，推廣並介紹知名品牌餅乾。"
40,"1.各大賣場的展示促銷或試吃活動為主
2.展示項目：食品或消費性產品為主
3.工作時間：週六、週日(每天8小時)
週六 13:00 - 21:00 | 週日 11:00 - 19:00"
41,"誌瀚科技股份有限公司是一家專注於提供服務的電子商務平台，而BounBang幫棒是我們公司的主要產品。Bounbang幫棒平台的願景是提供平台讓服務者可以彈性安排自己的服務項目與時間，更能在平台上建立自己的服務團隊；而消費者也能在Bounbang幫棒平台獲得各式各樣的服務項目。不管是服務提供者或是需求者，都可以發揮想像力，在平台上提出各種服務供給或需求。

BounBang幫棒平台的獨特商業模式已經獲得經濟部智慧財產局的新型專利，是一個互助互惠的平台。透過利潤共享機制，Bounbang幫棒平台除了帶給人更多的服務體驗，也歡迎大家的加入，好好一展長材，找到另一種新的生活方式和幸福!

幫棒理念請見粉絲團
https://www.facebook.com/bounbang.comTW

工作內容:
1. 有創意清晰的思路，能編寫出動人的文案
2. 能製作影片與Banner
3. 熱愛社群平台、喜愛與網友互動，瞭解網路社群生態、網友喜好用語。
4. 有社團、實習、工讀經驗者尤佳。
5. 態度積極與負有責任感。

具備能力：
會做攝影拍攝。
會操作photoshop或illustrator(至少一種）
會使用影音剪輯軟體
此職缺為學生實習，在學生尤佳
每周2~3天，每次4小時。

公司近國父紀念館捷運出口站步行2分鐘。

"
42,"1.各大賣場的展示促銷或試吃活動為主
2.展示項目：食品或消費性產品為主
3.工作時間：週六、週日(每天8小時)
週六 13:00 - 21:00 | 週日 11:00 - 19:00"
43,"提供餅乾試吃給消費者，推廣並介紹知名品牌餅乾。"
