"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
42,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 數學及電算機科學學科類、資訊管理相關、工程學科類 "," 不拘 ","Git、PHP、MySQL、HTML","網路程式設計"
43,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
44,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 ","PHP、HTML、CSS、Premiere、Adobe Photoshop、Illustrator"," 不拘 "
45,"學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關、資訊管理相關、電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
46,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 商業及管理學科類、數學及電算機科學學科類、工業技藝及機械學科類 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力","Excel、PowerPoint、Word、After Effects、Premiere、Adobe Photoshop","具備人力資源相關知識、面試技巧、召募任用制度設計、執行日常招募業務、網站企劃能力、廣告創意發想與提案、功能測試(function test)、使用者測試(Usability test)、軟體整合測試、電腦排版設計、繪圖工具與軟體操作、多媒體影像處理"
47,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 大學 "," 不拘 "," 不拘 ","Python、Excel"," 不拘 "
48,"應屆畢業生、學生實習"," 不拘 "," 專科以上 "," 教育學科類、數學及電算機科學學科類 "," 不拘 "," 不拘 "," 不拘 "
49,"上班族、應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 ","Python","軟體工程系統開發、軟體程式設計"
50,"學生實習"," 不拘 "," 大學、碩士 "," 工業工程相關、資訊管理相關、資訊工程相關 "," 不拘 ","Excel"," 不拘 "
51,"上班族、應屆畢業生、夜間就讀中、研發替代役、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 ","MySQL、JavaScript","伺服器網站管理維護、作業系統基本操作、資訊設備環境設定、功能測試(function test)"
52,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、資訊管理相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Linux、AJAX、PHP、Python、HTML、JavaScript、Node.js","作業系統基本操作、系統架構規劃、軟體工程系統開發、軟體程式設計、網路程式設計"
53,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、資訊管理相關、電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 "," 不拘 "," 不拘 "
54,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 資訊工程相關 "," 不拘 ","Java、HTML、JavaScript"," 不拘 "
55,"上班族、應屆畢業生、學生實習"," 10年以上 "," 專科以上 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂  台語 -- 略懂 ","Linux、Windows Server 2012、Windows 10、MS SQL、Vmware、HTML、XML、Outlook、中文打字20~50、英文打字20~50","伺服器網站管理維護、作業系統基本操作、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、安裝與維護網路安全系統"
56,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 資訊管理相關、數學及電算機科學學科類、工業工程相關 "," 不拘 "," 不拘 "," 不拘 "
57,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
58,"上班族、應屆畢業生、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習"," 不拘 "," 高中以下、高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 ","達成產能及出貨目標"
59,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Java、Python"," 不拘 "
60,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
61,"應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科以上 "," 資訊工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Python","軟體工程系統開發、軟體程式設計、網路程式設計"
62,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 藝術商業設計、美術工藝相關、美術學相關 "," 不拘 "," 不拘 "," 不拘 "
63,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 專科以上 "," 資訊管理相關、資訊工程相關、電機電子維護相關 "," 不拘 ","Linux、OS X、Windows 7、Windows 8、Firewall、LAN、Routers、TCP/IP、Excel、PowerPoint、Word"," 不拘 "
64,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、資訊管理相關、電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Ruby、Rails、MySQL、PL/SQL"," 不拘 "
