"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
47,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 ","3ds Max、Adobe Photoshop、AutoCAD、Sketch up","室內設計規劃、室內設計施工圖繪製、施工圖與裝配圖繪製"
48,"應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 ","建築物與週邊物清潔、環保資源回收作業、協助家務處理"
49,"應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 ","建築物與週邊物清潔、環保資源回收作業、協助家務處理"
50,"應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 ","建築物與週邊物清潔、環保資源回收作業、協助家務處理"
51,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
52,"上班族、應屆畢業生、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
53,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word、中文打字50~75、Adobe Photoshop、AutoCAD、Sketch up","室內設計規劃、室內設計施工圖繪製、施工圖與裝配圖繪製"
54,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 ","Excel、Word、AutoCAD"," 不拘 "
55,"上班族、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 建築及都市規劃學科類 "," 不拘 "," 不拘 "," 不拘 "
56,"夜間就讀中、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
57,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以下、高中、專科 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
58,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
59,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 不拘 ","Excel、Word、AutoCAD、AutoCad 3D"," 不拘 "
60,"日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關、資訊工程相關、測量工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
