"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
166,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
167,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
168,"上班族、應屆畢業生、夜間就讀中、研發替代役、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
169,"應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中以下、高中、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
170,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
171,"上班族、應屆畢業生、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
172,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
173,"應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
174,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
175,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
176,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
177,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
178,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
179,"上班族、應屆畢業生、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、高齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
180,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
181,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 ","中文打字20~50"," 不拘 "
182,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
183,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中高齡 、高齡 、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
184,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
185,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
186,"學生實習"," 不拘 "," 大學 "," 電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
187,"上班族、應屆畢業生、夜間就讀中、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
188,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 ","CNC加工機及相關機械操作、準備及操作車床／銑床"
189,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
190,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
191,"上班族、應屆畢業生、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
192,"上班族、應屆畢業生、學生實習"," 1年以上 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
193,"應屆畢業生、外籍人士、學生實習"," 1年以上 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  泰文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 "," 不拘 "," 不拘 "
194,"應屆畢業生、外籍人士、學生實習"," 1年以上 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  越文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 "," 不拘 "," 不拘 "
195,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
196,"上班族、應屆畢業生、學生實習"," 1年以上 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
197,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
198,"上班族、應屆畢業生、日間就讀中、研發替代役、原住民 、二度就業、中壯齡 、中高齡 、高齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
199,"上班族、應屆畢業生、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
200,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 專科以上 "," 不拘 "," 不拘 ","Apple、Mac OS","電話接聽與人員接待事項、電子設備操作簡修"
201,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
202,"上班族、應屆畢業生、日間就讀中、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
203,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
204,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
205,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
206,"上班族、應屆畢業生、日間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
207,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 1年以上 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
208,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 工程學科類、機械維護相關、其他相關科系 "," 不拘 ","Excel、Outlook、Word","電工儀表裝置及使用、工程協調與問題處理"
209,"應屆畢業生、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
210,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
211,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
212,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
213,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
214,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
215,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
216,"應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中高齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
217,"學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
218,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
219,"上班族、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 3年以上 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
220,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
221,"應屆畢業生、日間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
222,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
223,"上班族、應屆畢業生、原住民 、學生實習"," 不拘 "," 高中、專科、大學 "," 資訊工程相關、電機電子工程相關、其他工程相關 "," 不拘 "," 不拘 "," 不拘 "
224,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
225,"上班族、應屆畢業生、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
226,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 電機電子維護相關、電機電子工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 "," 不拘 "," 不拘 "
227,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
228,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 電機電子維護相關、電機電子工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 "," 不拘 "," 不拘 "
229,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 數學及電算機科學學科類、工業技藝及機械學科類、工程學科類 "," 不拘 "," 不拘 ","伺服器網站管理維護、資訊設備操作檢修、軟體程式設計、網路程式設計、系統架構規劃與維護、網路規劃管理、網路應用軟體操作、電子設備操作簡修、配電裝修維護、電機設備保養修護、機械產品故障排除檢修、改善設備問題及功能提昇"
230,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
231,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
232,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等 ","LibreOffice Writer、CorelDraw"," 不拘 "
233,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  英文 -- 聽 /中等、說 /略懂、讀 /中等、寫 /略懂 "," 不拘 "," 不拘 "
234,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等 ","Excel、PowerPoint、Word、LibreOffice Writer、CorelDraw","電腦排版設計、電腦繪圖軟體操作"
235,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等 ","LibreOffice Writer、CorelDraw"," 不拘 "
236,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
237,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 機械維護相關 "," 不拘 "," 不拘 "," 不拘 "
238,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 機械工程相關 "," 不拘 "," 不拘 "," 不拘 "
239,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 機械工程相關、電機電子工程相關 "," 不拘 "," 不拘 "," 不拘 "
240,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 機械工程相關 "," 不拘 "," 不拘 "," 不拘 "
241,"日間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
242,"夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
243,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
244,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
245,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
