"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
26,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word、Xmind"," 不拘 "
27,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
28,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
29,"上班族、應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 越文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升語文能力","Excel、Word、鼎新","文件收發與檔案管理、文書處理╱排版能力、行政事務處理、電話接聽與人員接待事項、文件或資料輸入建檔處理、採購並維護辦公事物及庶務用品"
30,"上班族、應屆畢業生、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
31,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
32,"上班族、應屆畢業生、日間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
33,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
34,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
35,"應屆畢業生、日間就讀中、夜間就讀中、研發替代役、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、Outlook、PowerPoint、Word"," 不拘 "
36,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
37,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
38,"上班族、應屆畢業生、日間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
